old_gis_id,id,name_simple,name,lat,long,state,transit,out,in,if_new
4,4,广元,广元火车站,32.450081,105.821611,四川,火车,1,1,1021
12,12,德阳,德阳火车站,31.165965,104.390067,四川,火车,1,1,911
20,20,达州,达州火车站,31.198582,107.453172,四川,火车,2,2,803
25,25,成都东,成都东火车站,30.628842,104.14128,四川,火车,22,44,363
28,28,成都,成都火车站,30.697306,104.073358,四川,火车,0,6,394
46,46,上海,上海火车站,31.249662,121.455625,上海,火车,3,0,301
52,52,上海虹桥,上海虹桥火车站,31.19418,121.320569,上海,火车,11,11,7
68,68,南充,南充火车站,30.807354,106.085686,四川,火车,2,5,700
69,69,绵阳,绵阳火车站,31.459191,104.717435,四川,火车,1,3,913
134,134,宝鸡南,宝鸡南火车站,34.33459,107.231139,陕西,火车,0,3,269
136,136,宝鸡,宝鸡火车站,34.372802,107.152902,陕西,火车,2,0,965
213,213,西安,西安火车站,34.277175,108.962718,陕西,火车,9,21,366
216,216,西安北,西安北火车站,34.376212,108.938446,陕西,火车,19,27,146
233,233,商洛,商洛火车站,33.821451,110.018497,陕西,火车,0,1,367
243,243,汉中,汉中火车站,33.089868,107.030146,陕西,火车,1,0,267
260,260,铁岭西,铁岭西火车站,42.232529,123.673615,辽宁,火车,0,4,191
265,265,沈阳,沈阳火车站,41.795132,123.393331,辽宁,火车,16,5,18
266,266,沈阳北,沈阳北火车站,41.81941,123.435889,辽宁,火车,3,12,407
280,280,盘锦,盘锦火车站,41.197668,122.061294,辽宁,火车,0,1,950
302,302,锦州南,锦州南火车站,41.016765,121.125745,辽宁,火车,1,3,137
308,308,葫芦岛,葫芦岛火车站,40.754146,120.868079,辽宁,火车,0,1,149
310,310,葫芦岛北,葫芦岛北火车站,40.743247,120.763521,辽宁,火车,0,3,82
333,333,萨拉齐,萨拉齐火车站,40.564477,110.531489,内蒙古自治区,火车,3,2,180
378,378,西丰,西丰火车站,42.734317,124.707242,辽宁,火车,0,1,360
422,422,本溪,本溪火车站,41.327424,123.767634,辽宁,火车,0,3,74
481,481,丹东,丹东火车站,40.124482,124.388095,辽宁,火车,0,2,639
508,508,大连,大连火车站,38.922375,121.632711,辽宁,火车,4,0,639
538,538,通辽,通辽火车站,43.605187,122.271158,内蒙古自治区,火车,1,3,516
622,622,化德,化德火车站,41.897161,114.038906,内蒙古自治区,火车,0,3,338
652,652,呼和浩特,呼和浩特火车站,40.830307,111.665727,内蒙古自治区,火车,6,3,338
764,764,牙克石,牙克石火车站,49.279405,120.737662,内蒙古自治区,火车,0,2,649
772,772,怀化南,怀化南火车站,27.511489,109.994749,湖南,火车,5,8,25
