if_ncov,old_gis_id,new_id,station_full_name,station,station_train_name,province_city,lat,long,address,province,city,站名,lng火星,lat火星,type,WGS84_Lng,WGS84_Lat,if_in_gis
#N/A,1,1,朝天站,朝天,朝天火车站,四川_广元,32.784858,105.923163,四川省广元市朝天区,四川,广元,朝天站,105.923163,32.784858,passenger,105.919476,32.78719,1
#N/A,2,2,大滩站,大滩,大滩火车站,四川_广元,32.790758,105.929717,四川省广元市朝天区元吉镇,四川,广元,大滩站,105.929717,32.790758,passenger,105.926019,32.793079,1
#N/A,3,3,广元南站,广元南,广元南火车站,四川_广元,32.417775,105.79865,四川省广元市利州区利州西路2段,四川,广元,广元南站,105.79865,32.417775,passenger,105.794864,32.420096,1
679,4,4,广元站,广元,广元火车站,四川_广元,32.450081,105.821611,四川省广元市利州区五丁北路,四川,广元,广元站,105.821611,32.450081,passenger,105.817863,32.452438,1
#N/A,5,5,广安站,广安,广安火车站,四川_广安,30.493988,106.89678,四川省广安市广安区新华路,四川,广安,广安站,106.89678,30.493988,passenger,106.892829,30.496775,1
#N/A,6,6,昭化站,昭化,昭化火车站,四川_广元,32.384353,105.641514,四川省广元市利州区水电路南段,四川,广元,昭化站,105.641514,32.384353,passenger,105.637925,32.386786,1
#N/A,7,7,广安南站,广安南,广安南火车站,四川_广安,30.451791,106.592714,四川省广安市广安区G42(沪蓉高速公路),四川,广安,广安南站,106.592714,30.451791,passenger,106.588975,30.454593,1
#N/A,8,8,华蓥站,华蓥,华蓥火车站,四川_广安,30.363452,106.781196,四川省广安市华蓥市迎宾路218号,四川,广安,华蓥站,106.781196,30.363452,passenger,106.777147,30.366102,1
#N/A,9,9,罗江东站,罗江东,罗江东火车站,四川_德阳,31.304046,104.534627,四川省德阳市罗江县罗吴路,四川,德阳,罗江东站,104.534627,31.304046,passenger,104.532171,31.306388,1
#N/A,10,10,岳池站,岳池,岳池火车站,四川_广安,30.536475,106.470558,四川省广安市岳池县,四川,广安,岳池站,106.470558,30.536475,passenger,106.466564,30.538985,1
#N/A,11,11,广汉北站,广汉北,广汉北火车站,四川_德阳,31.009293,104.27579,四川省德阳市广汉市宏达立交,四川,德阳,广汉北站,104.27579,31.009293,passenger,104.273375,31.011674,1
586,12,12,德阳站,德阳,德阳火车站,四川_德阳,31.165965,104.390067,四川省德阳市旌阳区黄浦江路,四川,德阳,德阳站,104.390067,31.165965,passenger,104.38739,31.168089,1
#N/A,13,13,青花站,青花,青花火车站,四川_达州,31.980254,108.006516,四川省万源市青花乡,四川,达州,青花站,108.006516,31.980254,passenger,108.00195,31.982421,1
#N/A,14,14,万源站,万源,万源火车站,四川_达州,32.083449,108.041932,四川省达州市万源市G210,四川,达州,万源站,108.041932,32.083449,passenger,108.037254,32.085544,1
#N/A,15,15,毛坝站,毛坝,毛坝火车站,四川_达州,31.616457,107.745007,四川省达州市毛坝站,四川,达州,毛坝站,107.745007,31.616457,passenger,107.740422,31.618593,1
#N/A,16,16,开江站,开江,开江火车站,四川_达州,30.913599,107.801527,四川省达州市开江县S202,四川,达州,开江站,107.801527,30.913599,passenger,107.797056,30.916041,1
#N/A,17,17,石柱槽站,石柱槽,石柱槽火车站,四川_达州,31.45451,107.598845,四川省达州市宣汉县大成乡双庙场,四川,达州,石柱槽站,107.598845,31.45451,passenger,107.594477,31.456848,1
