"","new_id","timestamp","value","accumulate","out_or_in","station","lat","long","province"
"1",0,"1577404800",1,1,"out",NA,0,0,NA
"2",862,"1577404800",2,2,"out","长沙",28.193949,113.013032,"湖南"
"3",0,"1577491200",1,2,"out",NA,0,0,NA
"4",862,"1577491200",0,2,"out","长沙",28.193949,113.013032,"湖南"
"5",0,"1577577600",1,3,"out",NA,0,0,NA
"6",823,"1577577600",2,2,"out","武汉",30.607096,114.42438,"湖北"
"7",862,"1577577600",0,2,"out","长沙",28.193949,113.013032,"湖南"
"8",0,"1577664000",1,4,"out",NA,0,0,NA
"9",823,"1577664000",0,2,"out","武汉",30.607096,114.42438,"湖北"
"10",862,"1577664000",0,2,"out","长沙",28.193949,113.013032,"湖南"
"11",0,"1577750400",1,5,"out",NA,0,0,NA
"12",823,"1577750400",0,2,"out","武汉",30.607096,114.42438,"湖北"
"13",862,"1577750400",0,2,"out","长沙",28.193949,113.013032,"湖南"
"14",0,"1577836800",1,6,"out",NA,0,0,NA
"15",823,"1577836800",0,2,"out","武汉",30.607096,114.42438,"湖北"
"16",862,"1577836800",0,2,"out","长沙",28.193949,113.013032,"湖南"
"17",0,"1577923200",1,7,"out",NA,0,0,NA
"18",823,"1577923200",0,2,"out","武汉",30.607096,114.42438,"湖北"
"19",862,"1577923200",0,2,"out","长沙",28.193949,113.013032,"湖南"
"20",0,"1578009600",1,8,"out",NA,0,0,NA
"21",823,"1578009600",0,2,"out","武汉",30.607096,114.42438,"湖北"
"22",862,"1578009600",0,2,"out","长沙",28.193949,113.013032,"湖南"
"23",0,"1578096000",1,9,"out",NA,0,0,NA
"24",823,"1578096000",0,2,"out","武汉",30.607096,114.42438,"湖北"
"25",862,"1578096000",0,2,"out","长沙",28.193949,113.013032,"湖南"
"26",2287,"1578096000",1,1,"out","深圳东",22.601157,114.118789,"广东"
"27",0,"1578182400",1,10,"out",NA,0,0,NA
"28",52,"1578182400",1,1,"out","上海虹桥",31.19418,121.320569,"上海"
"29",823,"1578182400",0,2,"out","武汉",30.607096,114.42438,"湖北"
"30",862,"1578182400",0,2,"out","长沙",28.193949,113.013032,"湖南"
"31",962,"1578182400",1,1,"out","武昌",30.528422,114.317801,"湖北"
"32",2287,"1578182400",0,1,"out","深圳东",22.601157,114.118789,"广东"
"33",0,"1578268800",1,11,"out",NA,0,0,NA
"34",52,"1578268800",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
"35",823,"1578268800",0,2,"out","武汉",30.607096,114.42438,"湖北"
"36",862,"1578268800",0,2,"out","长沙",28.193949,113.013032,"湖南"
"37",961,"1578268800",1,1,"out","汉口",30.619097,114.254389,"湖北"
"38",962,"1578268800",0,1,"out","武昌",30.528422,114.317801,"湖北"
"39",2287,"1578268800",0,1,"out","深圳东",22.601157,114.118789,"广东"
"40",0,"1578355200",1,12,"out",NA,0,0,NA
